38,4,GG-01-MO-ESC-0002,000022-2,MUEBLES DE OFICINA (M.O.),MUEBLES DE OFICINA (M.O.),ESCRITORIO,ESTACION DE TRABAJO,EN L 3 SERVICIOS SIN PORTA TECLADO,ESCRITORIO TIPO L METÁLICO Y MADERA,COLOR NEGRO Y CAFÉ 3 GAVETAS,SIN MARCA,SIN MODELO,SIN SERIE,CAFE,BUENO,METAL,ADMINSTRACION,,0.00,0,L 244CM- AN 69CM- AL,2_bien_38.JPG,0,,,,,,,,,,,,,,no,0
39,4,GG-01-MO-SIG-0002,000023-2,MUEBLES DE OFICINA (M.O.),MUEBLES DE OFICINA (M.O.),SILLA,GIRATORIA,SIN APOYA BRAZOS FORRADA DE CORROSIL,SILLA GIRATORIA ,COLOR NEGRO TAPIZADO,SIN MARCA,SIN MODELO,SIN SERIE,NEGRO,REGULAR,METAL,ADMINSTRACION,,0.00,0,SIN DIMENSIONES,2_bien_39.JPG,0,,,,,,,,,,,,,,no,0
40,4,,000024-2,MUEBLES DE OFICINA (M.O.),MUEBLES DE OFICINA (M.O.),ARCHIVADOR,ARCHIVADOR,VERTICAL 2 SERVICIOS,SIN INFORMACION, COD DE REFERENCIA GRCJ18050501,SIN MARCA,SIN MODELO,SIN SERIE,NEGRO,MALO,METAL,ADMINSTRACION,,0.00,0,L 47CM- AN 65CM- AL ,2_bien_40.JPG,0,,,,,,,,,,,,,,no,0
41,4,GG-01-MO-VMM-0001,000025-2,MUEBLES DE OFICINA (M.O.),MUEBLES DE OFICINA (M.O.),ANAQUEL,MIXTO,VERTICAL 2 SERVICIOS 2 PUERTAS,VITRINAS,METALICO/MADERA MOSTRARIO DESCUBIERTO DOS SERVICIOS CON DOS PUERTAS INFERIOR COLOR MADERA,SIN MARCA,SIN MODELO,SIN SERIE,CAFE,BUENO,METAL,ADMINSTRACION,,"0,00",1,L 110CM- AN 40CM- AL,2_bien_41.JPG,0,,,,,,,,,,,,,,no,0
42,4,GG-01-MO-VMM-0001,000026-2,MUEBLES DE OFICINA (M.O.),MUEBLES DE OFICINA (M.O.),ANAQUEL,MIXTO,VERTICAL 2 SERVICIOS 2 PUERTAS,VITRINAS,METALICO/MADERA MOSTRARIO DESCUBIERTO DOS SERVICIOS CON DOS PUERTAS INFERIOR COLOR MADERA,SIN MARCA,SIN MODELO,SIN SERIE,CAFE,BUENO,METAL,ADMINSTRACION,,"0,00",1,L 110CM- AN 40CM- AL,2_bien_41.JPG,0,,,,,,,,,,,,,,no,0
43,3,GG-01-EC-PAR-0004,000409-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),PARLANTES,DOS BOCINAS,DOS BOCINAS,PARLANTE,GENIUS,GENIUS,SIN MODELO,SIN SERIE,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,7.00,0,SIN DIMENSIONES,2_bien_43.JPG,0,05-OCT-16,,,,,,,,,,,,,no,0
44,5,GG-01-GC-CPU-0001,000027-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),CPU,CPU ,PENTIUM INTEL INSIDE,SIN INFORMACION,SIN OBSERVACION,VANTEK,WDRWD,8Y2YV8CV2B,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,0.00,0,,2_bien_44.JPG,0,,,,,,,,,,,,,,no,0
45,5,GG-01-EC-MON-0001,000028-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),MONITOR,PANTALLA LED,PANTALLA PLANA ,PANTALLA PLANA 19.5 PULG,SIN OBSERVACION,SAMSUNG,S20D300,"ZZDVH4LH4009""$H",NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,496.00,9,,2_bien_45.JPG,0,10-JUN-17,,,,,,,,,,,,,no,0
55,5,GG-01-EC-REG-0002,000029-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),REGULADOR,120V,8 TOMAS,REGULADOR COLOR NEGRO,CDP,CDP,R2C-AVR1008,160923'2086027,NEGRO,REGULAR,PLASTICO,ADMINSTRACION,,0.00,0,SIN DIMENSIONES,2_bien_55.JPG,0,,,,,,,,,,,,,,no,0
56,5,GG-01-EC-REG-0001,000030-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),REGULADOR,120V,6 TOMAS,REGULADOR COLOR NEGRO,CDP,CDP,G-UPR756120,130326'0590074,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,59.00,0,,2_bien_56.JPG,0,22-MAY-13,,,,,,,,,,,,,no,0
